node;degree
Schlegel, August Wilhelm von;129
Schelling, Caroline von;54
Schlegel, Friedrich von;29
Böhmer, Auguste;17
Tieck, Ludwig;16
Goethe, Johann Wolfgang von;14
Schlegel, Johanna Christiane Erdmuthe;13
Bernhardi, Sophie;10
Schlegel, Dorothea von;9
Ernst, Henriette;9
Hufeland, Gottlieb;9
Göschen, Georg Joachim, der Ältere;9
Schleiermacher, Friedrich;9
Schlegel, Johann Carl Fürchtegott;8
Mogge Muilman, Willem Ferdinand;7
Bernhardi, August Ferdinand;7
Heyne, Christian Gottlob;7
Mendelssohn, Henriette;6
Tieck, Amalie;6
Schütz, Christian Gottfried;5
Ernst, Charlotte;5
Eschenburg, Johann Joachim;5
Falk, Johann Daniel ;5
Schiller, Friedrich;5
Böttiger, Carl August;4
Schelling, Friedrich Wilhelm Joseph von;4
Muilman, Hendrik;4
Muilman, Susanna Cornelia (geb. Mogge);4
Kosegarten, Ludwig Gotthard;4
Reuss, Marianne;3
Ernst, Sigmund;3
Tischbein, Johann Friedrich August ;3
Göschen, Johanna Henriette;3
Schlegel, Karl August Moritz;3
Cruse, Johann Christian Gottlieb;3
Tischbein, Sophie;3
Hülsen, August Ludwig;3
Ernst, Ludwig Emanuel;3
Meyer, Heinrich;3
Tieck, Christian Friedrich;3
Schlegel, Johann Adolf;3
Becker, Frau;3
Heyne, Georgine (geb. Brandes);3
Hufeland, Konradine Luise Wilhelmine;3
Novalis;3
Iffland, Luise;3
Vieweg, Friedrich;3
Hooft, Suzanna Cornelia (geb. Muilman);2
Castricum, Maria Henriëtte van (geb. Muilman, gen. Jetje);2
Fouqué, Caroline de La Motte-;2
Steffens, Henrik;2
Schlegel, Julie;2
Rehberg, August Wilhelm;2
Reichardt, Johann Friedrich;2
Schlegel, Charlotte ;2
Dornford, Josiah ;2
Schlegel, Caroline (Tante Caroline);2
Unger, Johann Friedrich Gottlieb;2
Pape, Georg Wilhelm August von;2
Falk, Caroline;2
Rehberg, Caroline;2
Iffland, August Wilhelm;2
Gareis, Franz ;2
Fichte, Johann Gottlieb;2
Heinsius, Wilhelm ;2
Göschen, Carl Friedrich;2
Becker, Wilhelm Gottlieb;2
Göschen, Wilhelm Heinrich;2
Göschen, Georg Joachim, der Jüngere;2
Göschen, Charlotte;2
Kunze, Betty;1
Wilken, Caroline;1
Erxleben, Sophie Juliane (geb. Stromeyer);1
Michaelis, Louise Philippine Antoinette;1
Gärtner, Herr (Braunschweig);1
Campe, Charlotte;1
Böttiger, Karoline Eleonore;1
Rehberg, Frau (Mutter von August Wilhelm und Caroline Rehberg);1
Eschen, Friedrich August;1
Bialloblotzky, Heinrich Siegfried ;1
Tatter, Georg Ernst;1
Tieck, Dorothea;1
Heun/Heyne, Marianne;1
Bury, Friedrich;1
Briest, August von;1
Schadow, Gottfried;1
Fiorillo, Johann Dominik;1
Briest, Friederike Marie Helene von (geb. von Luck);1
Rochow, Clara Maria von;1
Rochow, Gustav Adolf Rochus von ;1
Rochow, Theodor Heinrich Rochus von ;1
Bürger, Gottfried August;1
Gries, Johann Diederich;1
Fouqué, Friedrich de La Motte-;1
Wolf, Friedrich August;1
Loder, Justus Christian von;1
Loder, Charlotte Luise Auguste;1
Schiller, Charlotte von;1
Bürger, Elise ;1
Eschenburg, Marie Dorothea;1
Niethammer, Friedrich Immanuel ;1
Cotta, Johann Friedrich von;1
Schütz, Wilhelm von;1
