subject_name;object_name;count;weight
Goethe, Johann Wolfgang von;Schlegel, August Wilhelm von;1;0.1
Herder, Johann Gottfried von;Schlegel, August Wilhelm von;1;0.1
Kosegarten, Ludwig Gotthard;Schlegel, August Wilhelm von;1;0.1
Mastiaux, Kaspar Anton von ;Schlegel, August Wilhelm von;1;0.1
Schelling, Caroline von;Schlegel, August Wilhelm von;3;0.3
Schelling, Caroline von;Herder, Johann Gottfried von;1;0.1
Schiller, Friedrich;Schlegel, August Wilhelm von;1;0.1
Schlegel, August Wilhelm von;Gries, Johann Diederich;1;0.1
Schlegel, August Wilhelm von;Herder, Johann Gottfried von;1;0.1
Schlegel, August Wilhelm von;Schiller, Friedrich;1;0.1
Schlegel, Friedrich von;Schlegel, August Wilhelm von;1;0.1
Schütz, Christian Gottfried;Schlegel, August Wilhelm von;1;0.1
Voigt, Christian Gottlob;Schlegel, August Wilhelm von;1;0.1
