Node;In-Degree;Out-Degree
Anton, Karl Gottlob von;1;2
Schlegel, August Wilhelm von;126;104
Schlegel, Friedrich von;59;110
Becker, Frau;2;2
Schelling, Caroline von;73;61
Beresford, Benjamin;0;2
Bernhardi, August Ferdinand;4;3
Schlegel, Dorothea von;26;52
Bernhardi, Sophie;4;4
Bertuch, Caroline;1;1
Bethmann-Unzelmann, Friederike;1;2
Bialloblotzky, Heinrich Siegfried ;0;1
Biester, Johann Erich ;0;1
Brachmann, Louise;0;2
Brandes, Marie Friederike;0;1
Breiger, Anna Elisabeth (Betty, geb. Trummer);1;1
Briest, August von;1;1
Bury, Friedrich;2;1
Böhmer, Auguste;4;3
Böttiger, Carl August;4;3
Bürger, Elise ;1;1
Carlowitz, Hans Georg von;1;1
Castricum, Maria Henriëtte van (geb. Muilman, gen. Jetje);0;2
Crause/Krause, Herr;0;1
Cruse, Johann Christian Gottlieb;2;2
Dassdorf, Karl Wilhelm;0;3
Dornford, Josiah ;0;1
Eichstaedt, Heinrich Carl Abraham ;1;1
Ernst, Charlotte;3;3
Ernst, Henriette;1;2
Ernst, Ludwig Emanuel;2;2
Ernst, Sigmund;2;3
Erxleben, Sophie Juliane (geb. Stromeyer);0;1
Eschen, Friedrich August;1;2
Eschenburg, Johann Joachim;3;3
Eschenburg, Marie Dorothea;2;3
Eybenberg, Marianne von ;0;1
Falk, Caroline;0;2
Falk, Johann Daniel ;3;3
Fauche, Frau;0;2
Fichte, Johann Gottlieb;3;2
Fichte, Johanna;1;2
Fischer, Johann Carl Christian;0;2
Forster, Georg;0;1
Fouqué, Caroline de La Motte-;1;1
Fouqué, Friedrich de La Motte-;1;1
Frommann, Johanna;2;1
Froriep, Charlotte;1;1
Gareis, Franz ;0;2
Genelli, Hans Christian;1;1
Goethe, Johann Wolfgang von;4;4
Gotter, Friedrich Wilhelm ;1;1
Gotter, Julie;2;2
Gotter, Luise;2;1
Grunow, Eleonore Christiane;2;2
Göschen, Georg Joachim, der Ältere;3;3
Hardenberg, Karl von;1;1
Hardenberg, Sidonie von ;0;2
Heinsius, Wilhelm ;0;2
Herder, Johann Gottfried von;3;1
Herz, Henriette;4;2
Heyne, Christian Gottlob;2;3
Heyne, Georgine (geb. Brandes);1;1
Honstedt, August von;0;1
Hooft, Suzanna Cornelia (geb. Muilman);0;2
Huber, Ludwig Ferdinand;1;2
Huber, Therese;0;1
Hufeland, Gottlieb;3;3
Hufeland, Konradine Luise Wilhelmine;2;3
Humboldt, Wilhelm von;2;3
Hülsen, August Ludwig;2;4
Iffland, August Wilhelm;2;2
Iffland, Luise;1;2
Koch, Carolina Augusta (geb. Schindler);0;1
Kosegarten, Ludwig Gotthard;0;3
Krohne, Friedrich Wilhelm;0;2
Kunze, Betty;0;1
Körner, Christian Gottfried ;2;2
Lemos, Brenna de;1;1
Lenz, Karl Gotthold;0;2
Less, Gottfried;0;1
Leuchsenring, Franz Michael;1;1
Liebeskind, Dorothea Margaretha ;0;2
Loose, Mlle.;0;1
Löffler, Josias Friedrich Christian;0;1
Macdonald, James;0;1
Manteuffel, Johanne von (geb. von Wagner);0;1
Marcus, Adalbert Friedrich;0;2
Mastiaux, Kaspar Anton von ;0;2
Matthiae, August;0;1
Mendelssohn, Henriette;3;4
Mereau, Sophie ;1;2
Meyer, Heinrich;2;1
Michaelis, Christian Friedrich ;0;1
Mogge Muilman, Willem Ferdinand;1;2
Muilman, Hendrik;1;2
Muilman, Susanna Cornelia (geb. Mogge);0;2
Novalis;4;4
Nuys, Elisabeth Wilhelmine van;1;2
Pape, Georg Wilhelm August von;1;3
Paulus, Caroline;1;1
Paulus, Heinrich Eberhard Gottlob ;1;1
Pernot, Herr (Dozent in Jena);0;2
Pölchau, Herr;0;2
Rehberg, August Wilhelm;0;1
Rehberg, Caroline;0;1
Rehberg, Sophia Charlotte;0;1
Reichardt, Johann Friedrich;1;2
Reichardt, Johanna;0;2
Reuss, Marianne;1;1
Ritter, Johann Wilhelm ;0;2
Salfeld, Johann Christoph ;0;1
Schadow, Gottfried;1;1
Schede, Caroline (geb. Wucherer);1;1
Bertuch, Wilhelmine;1;0
Gotter, Cäcilie;3;0
Göschen, Johanna Henriette;3;0
Schelling, Pauline von;2;0
Göschen, Carl Friedrich;3;0
