Node;In-Degree;Out-Degree
Anton, Karl Gottlob von;0;1
Schlegel, August Wilhelm von;75;34
Beresford, Benjamin;0;1
Bernhardi, August Ferdinand;1;1
Bernhardi, Sophie;2;1
Bethmann-Unzelmann, Friederike;0;1
Schlegel, Friedrich von;34;24
Brachmann, Louise;0;1
Bury, Friedrich;0;1
Böhmer, Auguste;3;3
Schlegel, Dorothea von;16;13
Böttiger, Carl August;3;2
Carlowitz, Hans Georg von;0;1
Castricum, Maria Henriëtte van (geb. Muilman, gen. Jetje);0;1
Cruse, Johann Christian Gottlieb;0;1
Dassdorf, Karl Wilhelm;0;1
Dornford, Josiah ;0;1
Eichstaedt, Heinrich Carl Abraham ;0;1
Ernst, Charlotte;0;2
Ernst, Henriette;0;2
Ernst, Ludwig Emanuel;0;1
Ernst, Sigmund;2;1
Eschen, Friedrich August;0;1
Eschenburg, Johann Joachim;2;1
Eschenburg, Marie Dorothea;0;1
Eybenberg, Marianne von ;0;1
Falk, Caroline;0;1
Falk, Johann Daniel ;2;1
Fauche, Frau;0;1
Schelling, Caroline von;19;20
Fichte, Johann Gottlieb;1;2
Fischer, Johann Carl Christian;0;1
Forster, Georg;0;1
Fouqué, Caroline de La Motte-;1;1
Fouqué, Friedrich de La Motte-;0;1
Gareis, Franz ;0;1
Genelli, Hans Christian;0;1
Goethe, Johann Wolfgang von;2;3
Gotter, Friedrich Wilhelm ;1;1
Gotter, Julie;1;1
Gotter, Luise;2;1
Grunow, Eleonore Christiane;0;1
Göschen, Georg Joachim, der Ältere;3;2
Hardenberg, Sidonie von ;0;1
Heinsius, Wilhelm ;0;1
Herder, Johann Gottfried von;2;1
Herz, Henriette;0;2
Heyne, Christian Gottlob;1;1
Honstedt, August von;0;1
Hooft, Suzanna Cornelia (geb. Muilman);0;1
Huber, Ludwig Ferdinand;0;1
Hufeland, Gottlieb;2;1
Hufeland, Konradine Luise Wilhelmine;0;1
Humboldt, Wilhelm von;0;2
Hülsen, August Ludwig;1;1
Iffland, August Wilhelm;2;1
Iffland, Luise;0;1
Kosegarten, Ludwig Gotthard;0;1
Krohne, Friedrich Wilhelm;0;1
Körner, Christian Gottfried ;1;1
Lenz, Karl Gotthold;0;1
Liebeskind, Dorothea Margaretha ;0;1
Loose, Mlle.;0;1
Manteuffel, Johanne von (geb. von Wagner);0;1
Marcus, Adalbert Friedrich;0;1
Mastiaux, Kaspar Anton von ;0;1
Mendelssohn, Henriette;1;3
Mereau, Sophie ;0;1
Michaelis, Christian Friedrich ;0;1
Mogge Muilman, Willem Ferdinand;0;1
Muilman, Hendrik;0;1
Muilman, Susanna Cornelia (geb. Mogge);0;1
Novalis;3;2
Nuys, Elisabeth Wilhelmine van;0;1
Paulus, Caroline;0;1
Paulus, Heinrich Eberhard Gottlob ;1;1
Pernot, Herr (Dozent in Jena);0;1
Pölchau, Herr;0;1
Reichardt, Johann Friedrich;1;1
Reichardt, Johanna;0;1
Ritter, Johann Wilhelm ;0;2
Vieweg, Friedrich;3;0
Becker, Wilhelm Gottlieb;2;0
Dieterich, Charlotte (geb. Michaelis);1;0
Schelling, Friedrich Wilhelm Joseph von;1;2
Tieck, Ludwig;4;4
Schiller, Friedrich;1;1
Schleiermacher, Friedrich;3;3
Gries, Johann Diederich;1;0
Bürger, Gottfried August;1;0
Bertuch, Friedrich Justin ;1;0
Buri, Christian Karl Ernst Wilhelm;1;0
Frölich, Heinrich;2;0
Niethammer, Friedrich Immanuel ;2;0
Schlegel, Johann Carl Fürchtegott;1;2
Schlegel, Karl August Moritz;1;1
Brinckmann, Karl Gustav von;2;0
Varnhagen, Rahel;1;2
Chézy, Helmina von;1;0
Frommann, Carl Friedrich Ernst;2;0
Zelter, Juliane ;1;0
Brentano, Clemens;1;0
Mahlmann, Siegfried August;1;0
Morgenstern, Karl;1;0
Wieland, Christoph Martin;1;0
Wilmans, Friedrich;1;0
Schlegel, Johan F. W.;0;1
Schlegel, Johanna Christiane Erdmuthe;0;1
Schlegel, Julie;0;1
Schweinitz, Hans Julius von;0;1
Schütz, Christian Gottfried;0;1
Smith, Juliet;0;1
Steffens, Henrik;0;2
Tatter, Georg Ernst;0;1
Tieck, Amalie;0;2
Tieck, Christian Friedrich;0;2
Tischbein, Johann Friedrich August ;0;1
Tischbein, Sophie;0;1
Unger, Johann Friedrich Gottlieb;0;1
Veit, Philipp;0;3
Voigt, Amalie von ;0;1
Voigt, Christian Gottlob;0;1
Welcker, Emma;0;1
Wolzogen, Karoline von;0;1
Zöllner, Johann Friedrich ;0;1
